Employee ID,Employee Name,Gender,Age,Date of Birth,Education,Department,Job Title,Employment Type,Location,Join Date,Years of Experience,Manager ID,Annual Salary INR,Bonus Percent,Bonus Amount INR,Performance Rating,Employment Status,Attrition,Leaves Taken,Leaves Available,Training Hours,Job Satisfaction Score,Overtime
EMP10001,Arjun Mehta,Male,43,1981-04-05,B.Tech,Operations,Operations Manager,Full-Time,Mumbai,2023-04-05,4,EMP10024,990000,19.8,196020,Average,Active,No,6,24,29,9,Yes
EMP10002,Aisha Mehta,Female,37,1987-06-24,MBA,IT,IT Manager,Full-Time,Chennai,2024-01-29,14,EMP10056,334000,20.2,67468,Good,Active,No,30,0,97,6,Yes
EMP10003,Rupal Joshi,Female,29,1995-08-11,M.Sc,Engineering,Software Engineer,Full-Time,Pune,2021-01-05,1,EMP10050,1194000,6.6,78804,Good,Active,No,22,8,8,1,Yes
EMP10004,Kavya Das,Female,29,1995-05-04,M.Sc,R&D,R&D Engineer,Full-Time,Bangalore,2022-02-16,7,EMP10163,1215000,8.3,100845,Good,Active,No,5,25,68,4,Yes
EMP10005,Shalini Mehta,Female,47,1977-07-05,M.Com,Sales,Sales Manager,Full-Time,Noida,2017-07-27,2,EMP10055,962000,13.0,125060,Excellent,Terminated,Yes,20,10,63,7,No
EMP10006,Shalini Joshi,Female,30,1994-03-21,B.Tech,Engineering,QA Engineer,Full-Time,Bangalore,2021-07-18,7,EMP10029,1159000,9.4,108946,Poor,Active,No,4,26,80,3,No
EMP10007,Riya Chopra,Female,25,1999-10-26,M.Tech,HR,Talent Acquisition Specialist,Contract,Pune,2015-02-17,3,EMP10076,1036000,7.3,75628,Below Average,Resigned,Yes,13,17,20,8,Yes
EMP10008,Aakash Kumar,Male,45,1979-10-10,B.Sc,Customer Support,Support Director,Full-Time,Hyderabad,2022-01-05,10,EMP10200,890000,15.2,135280,Good,Active,No,29,1,67,1,No
EMP10009,Deepak Mehta,Male,39,1985-10-21,MBA,Engineering,Software Engineer,Full-Time,Jaipur,2021-05-12,3,EMP10033,580000,19.6,113680,Below Average,On Leave,No,21,9,60,9,Yes
EMP10010,Suresh Bhatt,Male,36,1988-12-25,M.Tech,Customer Support,Senior Support Analyst,Full-Time,Delhi,2019-06-23,11,EMP10087,612000,13.8,84456,Average,Active,No,0,30,75,9,Yes
EMP10011,Sneha Mehta,Female,48,1976-05-29,M.Sc,Engineering,Software Engineer,Full-Time,Hyderabad,2018-09-15,3,EMP10148,1478000,9.8,144844,Average,Active,No,15,15,31,8,No
EMP10012,Sanjay Agarwal,Male,47,1977-06-06,BBA,Engineering,Engineering Manager,Full-Time,Delhi,2022-07-21,4,EMP10049,527000,13.1,69037,Good,Resigned,Yes,17,13,57,3,No
EMP10013,Anjali Bose,Female,45,1979-05-24,BCA,Finance,CFO,Full-Time,Hyderabad,2015-07-27,18,EMP10125,381000,24.4,92964,Below Average,Resigned,Yes,15,15,27,7,Yes
EMP10014,Vikas Iyer,Male,25,1999-12-06,B.Sc,Engineering,Engineering Manager,Full-Time,Noida,2022-06-04,3,EMP10016,1421000,8.1,115101,Good,On Leave,No,23,7,40,1,Yes
EMP10015,Pooja Patel,Female,46,1978-08-05,BBA,Marketing,Content Writer,Full-Time,Noida,2017-01-31,3,EMP10149,443000,18.5,81955,Good,Active,No,19,11,5,10,Yes
EMP10016,Arjun Gupta,Male,39,1985-09-15,B.Tech,Marketing,Marketing Manager,Full-Time,Bangalore,2017-12-23,13,EMP10118,574000,18.4,105616,Good,Active,No,19,11,72,2,Yes
EMP10017,Rahul Sharma,Male,33,1991-07-30,B.Tech,Marketing,Digital Marketing Specialist,Contract,Jaipur,2018-03-13,3,EMP10171,1219000,21.7,264523,Average,Active,No,26,4,70,5,Yes
EMP10018,Karan Bhatt,Male,37,1987-03-21,B.Sc,Engineering,Senior Software Engineer,Full-Time,Chennai,2018-02-28,10,EMP10126,842000,19.4,163348,Good,Active,No,8,22,115,1,Yes
EMP10019,Manish Singh,Male,42,1982-04-01,B.Sc,Legal,Compliance Officer,Full-Time,Hyderabad,2023-04-25,15,EMP10010,1557000,19.1,297387,Average,Active,No,26,4,47,10,Yes
EMP10020,Vivek Reddy,Male,38,1986-03-12,MBA,Engineering,Senior Software Engineer,Full-Time,Noida,2022-06-24,4,EMP10061,1142000,20.6,235252,Below Average,Active,No,27,3,20,3,No
EMP10021,Sanjay Mehta,Male,42,1982-02-21,M.Com,IT,Network Engineer,Full-Time,Kolkata,2023-10-31,4,EMP10079,1122000,22.4,251328,Below Average,Active,No,26,4,101,4,Yes
EMP10022,Rohit Joshi,Male,27,1997-11-07,M.Sc,Sales,Sales Manager,Full-Time,Hyderabad,2019-06-26,5,EMP10068,994000,23.8,236572,Excellent,On Leave,No,1,29,13,10,No
EMP10023,Aakash Verma,Male,24,2000-11-11,BBA,IT,IT Manager,Full-Time,Jaipur,2017-02-17,2,EMP10094,413000,19.2,79296,Excellent,Terminated,Yes,13,17,8,6,No
EMP10024,Pallavi Iyer,Female,31,1993-04-27,MBA,Engineering,QA Engineer,Full-Time,Ahmedabad,2018-08-29,7,EMP10158,1862000,10.9,202958,Excellent,Active,No,18,12,38,7,Yes
